"Task_Executor::""%s"" method does not exists in ""%s""","""%s"" method does not exists in ""%s"""
"Task_Executor::""%s"" model does not exists","""%s"" model does not exists"
"Task_Executor::End task","End task"
"Task_Executor::Execute task","Execute task"
"Task_Executor::Execute","Execute"
"Task_Executor::Executor","Executor"
"Task_Executor::Invalid command or method for current task. Please check your task configuration.","Invalid command or method for current task. Please check your task configuration."
"Task_Executor::No task was found","No task was found"
"Task_Executor::Select","Select"
"Task_Executor::Start task","Start task"
"Task_Executor::Step completed","Step completed"
"Task_Executor::Task id: %s","Task id: %s"
"Task_Executor::Tasks","Tasks"
"Task_Executor::Welcome to task executor","Welcome to task executor"
