"Task_Example::An error has occurred but the following steps can be performed","Une erreur est survenue mais les étapes suivantes peuvent être lancées"
"Task_Example::Checkbox:","Case cochable:"
"Task_Example::Custom comment","Commentaire personnalisable"
"Task_Example::Custom text 1:","Texte personnalisable 1:"
"Task_Example::Custom text 2:","Texte personnalisable 2:"
"Task_Example::Custom text:","Texte personnalisable:"
"Task_Example::Excute with multiselect option.","Exécuter avec une multi-sélection d'options."
"Task_Example::Execute step 1","Exécuter l'étape 1"
"Task_Example::Execute step 2","Exécuter l'étape 2"
"Task_Example::Execute step 3","Exécuter l'étape 3"
"Task_Example::Hidden text","Texte masqué"
"Task_Example::My custom message after step 3","Mon texte personnalisable après l'étape 3"
"Task_Example::Radio:","Radio:"
"Task_Example::Select Stores:","Sélectionner les boutiques:"
"Task_Example::Select Website:","Sélectionner le site web:"
"Task_Example::Select Websites:","Sélectionner les sites web:"
"Task_Example::Task Example: All Options","Tâche d'exemple:  Toutes les options"
"Task_Example::Task Example: Button","Tâche d'exemple : Bouton"
"Task_Example::Task Example: File and Text","Tâche d'exemple : Fichier et Texte"
"Task_Example::Upload File and set text options.","Uploader le fichier et définir le texte de l'option"
