"Task_Executor::""%s"" method does not exists in ""%s""","""%s"" méthode n'existe pas dans ""%s"""
"Task_Executor::""%s"" model does not exists","""%s"" modèle n'existe pas"
"Task_Executor::End task","Fin de la tâche"
"Task_Executor::Execute task","Exécuter la tâche"
"Task_Executor::Execute","Exécuter"
"Task_Executor::Executor","Exécuteur"
"Task_Executor::Invalid command or method for current task. Please check your task configuration.","Commande ou fonction invalide pour la tâche courante. Veuillez vérifier la configuration de la tâche."
"Task_Executor::No task was found","Aucune tâche trouvée"
"Task_Executor::Select","Sélectionner"
"Task_Executor::Start task","Démarrage de la tâche"
"Task_Executor::Step completed","Etape terminée"
"Task_Executor::Task id: %s","ID de tâche: %s"
"Task_Executor::Tasks","Tâches"
"Task_Executor::Welcome to task executor","Bienvenue dans l'exécuteur de tâche"
